" Order Date ","Region Name","STATE","Category-Type","Customer ID","Sales($)","Profit Margin"
"Aug 10, 2024","Central","Colorado","Technology","C1024","489.25","107.64"
"","West","Washington"," Furniture ","C1025","509.5","34.26"
"Aug 16, 2024","East","Florida","Office Supplies","C1026",,"45.3"
"Aug 19, 2024"," South","Louisiana","Technology","C1027","527.25","59.59"
"08/22/2024","North","Illinois","Furniture"," C1028 ","547.5","101.29"
"Aug 25, 2024","Central","Kansas","Office Supplies","C1029","567.75","118.41"
"Aug 28, 2024","West","Oregon","Technology","C1030","588",
"Aug 31, 2024","East","Virginia","Furniture","C1031","608.25","50.45"
"Sep 3, 2024","South","Texas","Office Supplies","C1032","628.5","94.28"
"Sep 6, 2024","North","Michigan","Technology","C1033","626","109.31"
"2024-09-09","Central",""," Furniture ","C1034","646.25","129.18"
"Sep 12, 2024","West","Nevada","Office Supplies","C1035","666.5","33.82"
"09/15/2024","East","New York ","Technology","C1036","686.75","78.98"
"Sep 18, 2024","South","Georgia","Furniture","C1037","707","99.55"
"Sep 21, 2024"," North","Ohio","","C1038","727.25","121.54"
"Sep 24, 2024","Central","Nebraska","Technology","C1039","747.5","144.95"
"2024-09-27","West","California","Furniture","C1040",,
"Jan 16, 2024","West","Washington","Technology","C1005","146.25","5.2"
"2024-02-24","North",""," Furniture ","C1018","364","54.34"
"Jun 26, 2024","Central","Nebraska","Technology","C1059","137.75","10.81"
"Nov 5, 2024","North","Minnesota","Office Supplies","C1008","892.25","145.57"
"2024-05-18","East","New York ","Furniture","C1061","863.5","99.3"
"Oct 3, 2024","South","Tennessee","Office Supplies","C1012","738.5","97.78"
"Mar 16, 2024","West","Washington","Technology","C1055","530","35.9"
"Sep 21, 2024"," North","Illinois","","C1023",,"125.98"
"2024-04-18","East","Florida","Furniture","C1081","753.5","73.65"
"2024-08-04","South","Tennessee","Furniture","C1022","448.75","54.31"
